name,ip,location,type
client-01,13.92.188.228,eastus,Microsoft.Compute/virtualMachines
client-02,52.177.194.168,eastus2,Microsoft.Compute/virtualMachines
client-06,104.45.227.31,westus,Microsoft.Compute/virtualMachines
client-03,52.173.130.166,centralus,Microsoft.Compute/virtualMachines
client-04,52.237.157.60,northcentralus,Microsoft.Compute/virtualMachines
client-05,13.66.56.235,southcentralus,Microsoft.Compute/virtualMachines
client-12,13.79.156.201,northeurope,Microsoft.Compute/virtualMachines
client-13,13.93.89.166,westeurope,Microsoft.Compute/virtualMachines
client-16,13.75.120.247,eastasia,Microsoft.Compute/virtualMachines
client-17,13.67.115.168,southeastasia,Microsoft.Compute/virtualMachines
client-18,13.73.25.25,japaneast,Microsoft.Compute/virtualMachines
client-19,104.215.59.72,japanwest,Microsoft.Compute/virtualMachines
client-22,40.126.249.244,australiaeast,Microsoft.Compute/virtualMachines
client-23,52.255.51.82,australiasoutheast,Microsoft.Compute/virtualMachines
client-09,191.232.166.28,brazilsouth,Microsoft.Compute/virtualMachines
client-11,52.237.35.188,CanadaCentral,Microsoft.Compute/virtualMachines
client-10,52.242.21.76,CanadaEast,Microsoft.Compute/virtualMachines
client-07,52.191.138.170,westus2,Microsoft.Compute/virtualMachines
client-08,52.161.103.87,westcentralus,Microsoft.Compute/virtualMachines
client-14,51.140.62.191,uksouth,Microsoft.Compute/virtualMachines
client-15,51.141.39.103,ukwest,Microsoft.Compute/virtualMachines
client-20,52.231.27.16,KoreaCentral,Microsoft.Compute/virtualMachines
client-21,52.231.207.55,KoreaSouth,Microsoft.Compute/virtualMachines
